,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
Cluster 0,-4.440892098500626e-16,0.904204303161449,0.8557964909005149,0.8826113615434471,0.8542157881388289,0.8660844500368087,0.7313229024307605,0.8300634473119224,0.8591032859705927,0.7881331424154737
Cluster 1,0.904204303161449,1.1102230246251565e-16,0.8758639383424084,0.8495412970449849,0.842136136464068,0.8764669865594263,0.8294712705723499,0.8789813051039269,0.8126243929747197,0.8381904601119144
Cluster 2,0.8557964909005149,0.8758639383424084,-6.661338147750939e-16,0.8003404874783929,0.7700741765591513,0.8625941030075356,0.7913522258524037,0.8197129049168963,0.8678913777344386,0.6469886873574
Cluster 3,0.8826113615434471,0.8495412970449849,0.8003404874783929,-8.881784197001252e-16,0.8208320359107657,0.8859636237171623,0.8188325720936906,0.8248298517362389,0.7845368183595764,0.7696059494815186
Cluster 4,0.8542157881388289,0.842136136464068,0.7700741765591513,0.8208320359107657,6.661338147750939e-16,0.841499564727624,0.8006921877326817,0.8407056248366145,0.8646275412987056,0.7413083560505633
Cluster 5,0.8660844500368087,0.8764669865594263,0.8625941030075356,0.8859636237171623,0.841499564727624,-6.661338147750939e-16,0.8506377684542554,0.82776025263715,0.8456266222044125,0.8354866048399221
Cluster 6,0.7313229024307605,0.8294712705723499,0.7913522258524037,0.8188325720936906,0.8006921877326817,0.8506377684542554,1.1102230246251565e-16,0.8157906412188449,0.7978826393815454,0.7354061426433658
Cluster 7,0.8300634473119224,0.8789813051039269,0.8197129049168963,0.8248298517362389,0.8407056248366145,0.82776025263715,0.8157906412188449,2.220446049250313e-16,0.8600721783016518,0.762398532987274
Cluster 8,0.8591032859705927,0.8126243929747197,0.8678913777344386,0.7845368183595764,0.8646275412987056,0.8456266222044125,0.7978826393815454,0.8600721783016518,7.771561172376096e-16,0.8421177207192523
Cluster 9,0.7881331424154737,0.8381904601119144,0.6469886873574,0.7696059494815186,0.7413083560505633,0.8354866048399221,0.7354061426433658,0.762398532987274,0.8421177207192523,2.220446049250313e-16
