titulo,data_publicacao,url,texto
Convocação da Seleção: veja a lista de Carlo Ancelotti para os amistosos contra Austrália e Índia,,https://ge.globo.com/futebol/selecao-brasileira/noticia/2026/09/09/convocacao-da-selecao-veja-a-lista-de-carlo-ancelotti-para-os-amistosos-contra-australia-e-india.ghtml,"Carlo Ancelotti convoca jogadores para amistosos contra Austrália e Índia São muitas as novidades na lista de 26 convocados da seleção brasileira anunciada nesta quarta-feira, visando os próximos amistosos contra Austrália e Índia, entre o fim de setembro e o início de outubro. Esta é a primeira convocação do técnico Carlo Ancelotti depois da Copa do Mundo de 2026 , na qual o Brasil foi eliminado pela Noruega nas oitavas de final. ""Está claro que o Ancelotti não está preocupado com camisa 10"", diz Ledio Havia a expectativa de que a primeira convocação do Brasil desse pós-Copa trouxesse novidades. Quando anunciou os amistosos contra Austrália e Índia, Ancelotti afirmou que pretende aproveitar esses jogos para observar novos jogadores, principalmente jovens . A intenção é encontrar nomes para compor o processo de renovação da Seleção nos próximos anos. Ana Thaís comenta convocação: ""Adorei a lista, em especial o meio-campo"" — Essa é uma lista equilibrada, com jogadores que estiveram na Copa do Mundo. Vai ser importante para a próxima geração. Temos jovens, que têm qualidade para representar no futuro a Seleção, nos próximos anos . E temos também jogadores que estão atuando muito bem no Campeonato Brasileiro. Temos que priorizar jovens que terão idade para a próxima Copa do Mundo, ou a próxima Copa América — comentou Carlo Ancelotti, em entrevista coletiva. ""Eu tenho uma decepção nessa lista da Seleção"", diz Rizek A nova lista de convocados de Ancelotti conta com oito jogadores que nunca foram chamados antes para a seleção principal. O técnico aproveitou a entrevista coletiva para mandar um recado positivo para nomes mais experientes ou já com histórico na Seleção. Ancelotti sobre carência no meio-campo: ""Colocar uma nova geração de jogadores"" — Para todos os outros não há porta fechada, a porta está aberta a todos. Lógico que agora eu prefiro focar meu trabalho com os jovens e acompanhar o progresso deles. Às vezes, o objetivo do clube não é o objetivo da Seleção. Temos jogadores que pensamos que vão representar o futuro da Seleção e eles não estão jogando, temos que acompanhar esses jogadores, se eles não jogam, temos que dar a oportunidade de eles jogarem e progredirem — disse Ancelotti. Outra característica dessa convocação é a grande quantidade de atletas que atuam no futebol brasileiro . São 10 nomes, sendo o Corinthians o clube com o maior número de representantes (três). Ancelotti ressaltou que jogadores do Campeonato Brasileiro tendem a estar melhores fisicamente do que aqueles de outras ligas, principalmente da Europa, que se encontram em início de temporada. — Agora alguns jogadores do Brasil estão em condição física melhor, porque o Campeonato Brasileiro está mais adiantado que outras ligas, mas não estamos priorizando jogadores que atuam no Brasil. Os jogadores que chamei do Brasileirão estão bem e podem ajudar a Seleção. Também há jovens que não conheço, têm potencial e precisamos dizer a eles que estamos observando. Carlo Ancelotti sobre renovação da Seleção: ""Priorizar jovens para a próxima Copa"" O Brasil enfrentará a Austrália duas vezes. A primeira no dia 25 de setembro, no Queensland Country Bank Stadium, em Townsville, e a segunda no dia 29, no Suncorp Stadium, em Brisbane. A Seleção jogará contra a Índia no dia 3 de outubro, no Salt Lake Stadium, em Calcutá. Será o primeiro jogo na história entre as duas equipes. Carlo Ancelotti durante a convocação da Seleção — Foto: André Durão A seleção brasileira terá mais dois compromissos neste ano, na data Fifa de novembro , quando disputará amistosos contra Japão e Singapura , sendo as duas partidas no Estádio Nacional de Singapura."
"Mourinho corneta prêmio de craque do jogo para Valverde em vez de Courtois: ""Quem decide estava dormindo""",,https://ge.globo.com/futebol/futebol-internacional/noticia/2026/09/09/mourinho-corneta-premio-de-craque-do-jogo-para-valverde-em-vez-de-courtois-quem-decide-estava-dormindo.ghtml,"Real Madrid 2 x 1 Inter de Milão | Melhores momentos | 1ª rodada | Champions League O Real Madrid estreou na Champions League com vitória por 2 a 1 sobre a Inter de Milão nesta terça-feira, mas foi muito pressionado nos dois tempos. O goleiro Courtois teve grande atuação e fez sete defesas, algumas delas impressionantes, porém a Uefa elegeu Valverde, autor do segundo gol dos espanhóis, o melhor em campo. José Mourinho, com a acidez que lhe é peculiar, ironizou a decisão. UEFA Champions League - Courtois foi o melhor do Real Madrid contra a Inter de Milão de Lautaro Martínez — Foto: REUTERS/Violeta Santos Moura - Um jogo maluco, uma loucura que eu não gosto. Prefiro muito mais poder marcar cinco, seis ou sete, mas ter o controle absoluto e não necessitar de um goleiro absolutamente incrível. No jogo de hoje, quem decide o melhor em campo estava dormindo. Porque se não deram o prêmio a Courtois, não vai ser o melhor em campo nunca. Sem tirar o mérito de Fede (Valverde), que foi eleito. Valverde, que ficou com o troféu de craque da partida, tratou de dividi-lo com Courtois. - Fizemos um grande primeiro tempo. Sobre esse prêmio, Thibaut (Courtois) tem muito mérito. Hoje nos salvou, teve uma atuação tremenda, e esse prêmio é dele também. Valverde foi eleito o melhor em campo na vitória do Real Madrid sobre a Inter de Milão — Foto: Divulgação/Real Madrid Mbappé fez o outro gol do Real Madrid contra os italianos, e o brasileiro Carlos Augusto descontou. O time de José Mourinho volta a jogar no sábado, contra o Rayo Vallecano, às 16h (de Brasília), por LaLiga. O próximo compromisso na Champions League está marcado para 14 de outubro, no mesmo horário, contra a Roma, na Itália."
Nicolas passa por cirurgia e deve ficar no mínimo três meses afastado do São Paulo,,https://ge.globo.com/futebol/times/sao-paulo/noticia/2026/09/09/nicolas-passa-por-cirurgia-e-deve-ficar-no-minimo-tres-meses-afastado-do-sao-paulo.ghtml,"São Paulo está otimista em ter Luciano contra o Boca | Voz do Setorista SPFC Nicolas Bosshardt passou por uma cirurgia para sutura do menisco do joelho esquerdo nesta quarta-feira, no Hospital Albert Einstein, na capital paulista. O procedimento foi realizado pelo médico Moisés Cohen. O lateral-esquerdo relatou dores na terça-feira, depois de uma atividade no CT da Barra Funda. O departamento médico submeteu o atleta a exames de imagem, que constataram a necessidade de cirurgia. Mais do São Paulo : + Luciano joga contra o Boca? Tricolor está otimista + Quais foram os destaques do São Paulo no Mundial Sub-17 Nicolas Bosshardt participou de atividade do São Paulo — Foto: Erico Leonan/São Paulo Em nota, o São Paulo informou que o procedimento foi bem-sucedido e que o jogador iniciará a recuperação com a fisioterapia do clube nos próximos dias, depois de receber alta hospitalar. Segundo fontes ouvidas pelo ge , a previsão de retorno aos gramados é de, no mínimo, três meses. O jogador de 19 anos vive uma temporada de altos e baixos. Nicolas ganhou mais oportunidades entre os profissionais e disputou sete partidas pela equipe principal No começo de agosto, porém, envolveu-se em um acidente com vítima fatal. O jogador chegou a ser detido, mas responde em liberdade. Depois do episódio, Nicolas foi preservado pelo São Paulo e perdeu alguns treinamentos. No fim do mês, voltou às atividades e participou de partidas da equipe sub-20 para retomar o ritmo de jogo. Nicolas não é relacionado para uma partida da equipe profissional desde julho."
Atuações do Palmeiras: Giay faz seu melhor jogo e decide vitória na Libertadores; dê suas notas,,https://ge.globo.com/futebol/times/palmeiras/noticia/2026/09/09/atuacoes-do-palmeiras-giay-faz-seu-melhor-jogo-e-decide-vitoria-na-libertadores-de-suas-notas.ghtml,"Fez uma boa defesa logo no início aos 10 minutos, contra o chute de Estrada que entrava sozinho na área, só que deu um susto aos 30: saiu errado e deixou a bola de graça para Estrada. Barboza entra para atrapalhar o lance. Apesar de alguns erros de passe, teve uma atuação segura. Bom desarme na área aos 3 minutos e ainda arrumou a bola para o meio no cabeceio de Marlon Freitas que o goleiro Valle defendeu, aos 8. Noite de altos e baixos. Se teve um bom desarme aos 13 dentro da área, interceptando a bola que iria ao adversário de frente para o gol, errou um passe aos 10 que deu o primeiro bom ataque da LDU e, ao parar um contra-ataque do rival, levou cartão. Está fora do jogo de volta. Foi o terceiro zagueiro pela esquerda e teve poucas aparições, sem desarmes no 1º tempo, enfim conseguindo dois no 2º, e com três faltas cometidas durante a partida. Depois da primeira assistência, o primeiro gol. Tem atuado mais avançado e vive sua melhor sequência pelo clube. Já havia ensaiado o gol no chute de fora da área, aos 17, que mandou por cima da trave, até que aos 25, no rebote de Roque na área, saiu: de cabeça, fez 1 a 0. Quase fez outro aos 38, mas tocou para o meio. Três finalizações, dois desarmes. Fez a distribuição de jogo, sendo que mais pegou na bola, teve três desarmes e uma boa chance de cabeça na pequena área, aos 8, mas que ele manda em cima do goleiro. Formou o meio de campo na ausência de Andreas, que estava suspenso, ajudou com dois desarmes e, ainda que participando menos das jogadas ofensivas, ficou uma linha a frente de Marlon Freitas. Voltou a ser titular e teve a primeira chance aos 7 minutos, com finalização cruzada que fez a torcida cantar mais alto. Caiu na área e pediu pênalti aos 6 do 2º tempo, mas o árbitro mandou seguir. Foram três finalizações, com uma chance clara desviada pelo zagueiro com o pé aos 36 do 2º tempo. Esteve melhor do que nas últimas partidas, com dois desarmes, além de um bom cruzamento criando perigo, aos 38, mas que não finalizaram para o gol, e teve uma finalização arriscada, aos 3 do 2º tempo, que ele mandou para fora. Foi participativo, arriscou três finalizações e teve um bom drible de corpo contra a marcação aos 36, que ele abre a direita com passe em Arias, mas no cruzamento do colombiano na área ninguém chegou. Faltou sair o gol. É o quarto jogo sem. Voltou a ser titular e melhorou em relação aos últimos jogos. Arriscou quatro finalizações, sendo quem mais tentou, e participou do lance do gol: rouba a bola no ataque, chuta e no rebote do goleiro é Giay quem marca. Saiu aplaudido pela torcida. Entrou no lugar de Vitor Roque aos 33 do 2º tempo e teve boa chance aos 38. Ele recebe cruzamento de Giay na medida, faz o cabeceia buscando o canto, e a bola passa muito perto da trave. Escalou o time com três zagueiros e o ataque formado por Arias, Vitor Roque (que voltaram a equipe titular) e Flaco. As chances criadas aumentaram, mas a eficácia caiu ao longo da partida e a vitória por 1 a 0 termina sendo uma vantagem baixa para a ida das quartas. Segurou a equipe com apenas uma troca até o fim, arriscando para tentar aumentar o resultado. Palmeiras X LDU - Taça Conmebol Libertadores 2026 - Quartas de final Avalie os atletas para aparecer no compartilhamento Palmeiras 1 x 0 LDU | Melhores Momentos | Conmebol Libertadores 2026 Giay, do Palmeiras, comemora gol contra a LDU, pelas quartas de final da Copa Libertadores. — Foto: Mauro Horita/Staff Images"
Gómez desfalca o Palmeiras contra a LDU no Equador pela Libertadores,,https://ge.globo.com/futebol/times/palmeiras/noticia/2026/09/09/gomez-desfalca-o-palmeiras-contra-a-ldu-no-equador-pela-libertadores.ghtml,"Gustavo Gómez recebeu o terceiro cartão amarelo na Conmebol Libertadores, durante a partida desta quarta-feira contra a LDU , e desfalca o Palmeiras no confronto de volta das quartas de final, na quarta-feira da próxima semana, em Quito, no Equador. O lance aconteceu aos 43 minutos do primeiro tempo, por falta de contra-ataque em Estrada. Gustavo Gómez antes de Palmeiras x LDU — Foto: Marcos Ribolli Sem o capitão no Equador, o técnico Abel Ferreira tem a opção de acionar Bruno Fuchs caso queira repetir o esquema de três zagueiros, ou modificar o formato da escalação e ter apenas Murilo e Barboza. É uma perda relevante para o Palmeiras , que decidirá a classificação à semifinal da Libertadores fora de casa, algo que não vinha sendo o roteiro dos últimos anos. Em compensação, terá ao menos o retorno de Andreas Pereira no meio de campo. Ele cumpriu nesta quarta-feira a segunda partida de suspensão, imposta pela Conmebol pela expulsão ainda no jogo de ida contra o Cerro Porteño. Antes, os clubes acumulavam cartões amarelos desde a fase preliminar até a última rodada da fase de grupos da Libertadores, e as punições zeravam nas oitavas de final. Só ficava suspenso quem levasse cartão vermelho ou acumulasse cartões amarelos na última rodada dos grupos. Agora, porém, os cartões só irão zerar a partir do jogo de ida das semifinais. Ou seja, até a volta das quartas, todos os cartões recebidos desde a fase preliminar seguem sendo contados. A mudança, feita pela Conmebol, aconteceu para as competições internacionais deste ano. O outro atleta pendurado do Palmeiras até o momento é o lateral-esquerdo Arthur."
"Jorginho, do Flamengo, está na pré-lista da seleção italiana",,https://ge.globo.com/futebol/times/flamengo/noticia/2026/09/09/jorginho-do-flamengo-esta-na-pre-lista-da-selecao-italiana.ghtml,"""A gente precisa dessa virada de chave"", Jorginho sobre o momento do Flamengo Jorginho, volante do Flamengo , foi incluído na pré-lista da seleção italiana e pode voltar a figurar entre os convocados depois de dois anos fora. Apó três edições fora da Copa do Mundo, a seleção comandada por Roberto Mancini busca uma renovação, e deve mesclar alguns jogadores jovens com outros mais experientes. A informação foi divulgada pela ESPN e confirmada pelo ge. Nascido no Brasil, Jorginho escolheu defender a Itália e fez parte do título da Eurocopa em 2020, sendo um dos destaques da equipe. Ele soma mais de 50 partidas com a camisa da Azzurra. Jorginho marcou o último pênalti na vitória da Itália sobre a Espanha na semifinal da Euro-2020 — Foto: Getty Images Roberto Mancini, que assumiu em julho deste ano, após mais um fracasso em busca de voltar à Copa do Mundo, já comandou a seleção italiana entre 2018 e 2023. Foi nesse período que Jorginho teve maior destaque pela Itália, e, por isso, a tendência é que esteja na lista final do treinador. Entre o final de setembro e o começo de outubro, a seleção comandada por Mancini faz seus primeiros jogos na UEFA Nations League, contra Bélgica, Turquia e França. Em grande fase no Flamengo , o jogador não é o único que está na pré-lista da sua seleção. Além dele, Pedro e Samuel Lino também figuram na pré-lista de Carlo Ancelotti, que convoca a seleção brasileira nesta quarta-feira, para os amistosos contra Austrália e Índia, na primeira Data Fifa visando a Copa do Mundo de 2030. Outros jogadores como Plata e Valencia são cotados para constar na lista de convocados do Equador. Carrascal, na Colômbia e Arrascaeta, Varela e De La Cruz, no Uruguai, também são nomes cotados da equipe carioca. Del Valle virou potência com formação antirracista e tenta assombrar novamente o Flamengo"
"Thiago Silva e Fluminense reencontram Palermo após 18 anos: ""Foi uma pedra no sapato""",,https://ge.globo.com/futebol/times/fluminense/noticia/2026/09/09/thiago-silva-e-fluminense-reencontram-palermo-apos-18-anos-foi-uma-pedra-no-sapato.ghtml,"Thiago Silva comenta encontro com Palermo: ""Pedra no sapato"" As quartas de final da Libertadores de 2026 reservaram um reencontro para Fluminense e Thiago Silva. Não com o rival, já que o Platense faz sua estreia na competição, mas com Martín Palermo. Hoje treinador da equipe argentina, derrotada por 2 a 0 no jogo de ida desta terça-feira, ele foi um dos atacantes que mais atormentaram as defesas brasileiras no início do século XXI. Palermo era um dos símbolos do Boca Juniors que dominou o continente entre 2000 e 2007, ao lado de Riquelme e Palacio. O mesmo time que, há 18 anos, enfrentou o próprio Fluminense em uma semifinal da principal competição sul-americana e acabou derrotado por 3 a 1 no Maracanã, embora o centroavante tenha deixado sua marca naquela partida. Fluminense 2 x 0 Platense | Melhores Momentos | Conmebol Libertadores — Foi legal porque eu já sabia dessa história. Teve aquele 3 a 1 contra o Boca, que a gente venceu e avançou. No final do jogo, ele estava falando com os jogadores dele. Eu me aproximei, dei um abraço nele. Ele falou que estava muito feliz em me ver desfrutando do futebol, e ele do outro lado agora. Enfim, a gente fica feliz porque foi há 18 anos, né? E você continua jogando, desfrutando daquilo que ama fazer. Fico feliz de enfrentá-lo, porque foi um atacante que, para nós brasileiros, foi uma pedra no sapato algumas vezes. O Boca dificilmente perdia para times brasileiros na Libertadores naquele momento. A gente conseguiu, de alguma forma, mudar isso — contou Thiago. Se em 2008 o então centroavante representava uma das maiores equipes do continente, na última terça-feira o contexto era completamente diferente. O Platense chegou ao Rio de Janeiro falando em fazer história apenas por estar disputando a competição. Em 2008, Fluminense bate o Boca Juniors-ARG pela Taça Libertadores da América O pequeno clube argentino participa pela primeira vez da principal competição sul-americana e, logo em sua estreia, alcançou as quartas de final. Independentemente do resultado, o sentimento é de orgulho. — Tenho recordação desse momento como jogador. Fiz um gol, lembro disso. Sei da história e do que significa jogar no Maracanã. Venho em outra função, com uma equipe como o Platense fazendo história por disputar a Libertadores — lembrou Palermo. Palermo dá instruções ao time do Platense — Foto: Thiago Ribeiro/AGIF Adversário naquela ocasião, o zagueiro e capitão tricolor voltou a encontrar o argentino. Mas, enquanto Palermo se aposentou dos gramados há 15 anos, Thiago Silva segue em atividade e em alto nível, mesmo aos 42 anos. A expectativa do defensor é que estes confrontos das quartas de final não representem seu último encontro com Palermo. Quem sabe, no futuro, este reencontro aconteça em outra função. — Eu acredito que daqui a pouco vou estar do outro lado, como ele. Fico feliz de tê-lo visto hoje à beira do campo, comandando o time dele, mas espero que, na próxima oportunidade, a gente possa vencer mais uma vez. Depois eu falo com ele de outras coisas (risos). Thiago Silva sinaliza para a cabeça na vitória do Fluminense sobre o Platense — Foto: Jorge Rodrigues/AGIF"
Atuações do Vasco: Léo Jardim salva em outra noite infeliz de Spinelli; dê suas notas,,https://ge.globo.com/futebol/times/vasco/noticia/2026/09/08/atuacoes-do-vasco-leo-jardim-salva-em-outra-noite-infeliz-de-spinelli-de-suas-notas.ghtml,"Fez duas grandes defesas em cobranças de escanteios no fim da segunda etapa. Quase mandou a bola para o gol adversário desde a sua área no primeiro tempo, em lance que não valeria se a bola entrasse diretamente no gol. Chutou de longe e levou perigo em tentativa da entrada da área. Driblou na lateral depois de receber de Rojas, chutou cruzado e levou perigo. Escorregou e deixou Fagúndez livre para chutar no travessão. Não conseguiu incomodar Rodallega em cabeçada perigosa no início do segundo tempo. Na frente, arriscou chute de longe sem perigo. Chutou a bola para a torcida depois da saída e levou cartão amarelo. Acompanhou bem o ataque colombiano. Foi firme em jogada perigosa de bate-rebate na área vascaína. Mas não alcançou Fagúndez em cabeçada perigosa na reta final da partida. No fim, cortou bem no mano a mano. Arriscou chute cruzado, mas sem força no primeiro tempo. Errou passe quando tentou abrir o lance para Nuno. Sofreu com as investidas de Obrian por seu lado. Entrou na lateral esquerda. Quando abriu para tentar o chute, isolou, na primeira bola que tentou no ataque. Não conseguiu cortar a bola que terminou em gol anulado por pouco de Scarpeta. Cobriu Piton e pressionou chute de Palacios, que finalizou para fora. Errou muito no primeiro tempo. Com problemas no domínio e em controlar a bola para conduzir ao ataque. Cansou muito na segunda etapa e foi substituído. Acertou duas inversões para Puma no primeiro tempo e ajudou o Vasco a controlar o meio-campo até o intervalo. Na segunda etapa, caiu de produção e teve pouca imaginação para ameaçar o gol adversário. Entrou mais adiantado e conseguiu ajudar o time a sofrer menos nos últimos minutos, à exceção das duas jogadas em cobranças de escanteio. Não conseguiu finalizar depois de bom cruzamento de Spinelli. Errou cruzamento para a área, mas fez boa jogada em lance em que Nuno não conseguiu finalizar. Criou e perdeu chance incrível ao arrancar e chutar em cima do goleiro Asprilla no segundo tempo. Antes, cabeceou com perigo em cobrança de escanteio aos 11 minutos. Ainda errou passe simples que deixaria Marino de cara para o gol. Poucas ações com a bola, perdeu boa chance no fim da partida ao tentar colocar no canto. Movimentou-se, mas voltou a jogar mal, com pouca sequência nas jogadas. Travado depois de boa jogada de Marino. Tinha campo para avançar e chutou de muito longe no início do segundo tempo. Participou pouco no fim do segundo tempo. Colocou time quase todo reserva, só com Léo Jardim titular. Se faltou entrosamento, houve algum domínio territorial no primeiro tempo. Na segunda etapa, a equipe perdeu controle, sofreu e cedeu boas chances para o Santa Fe. Vasco X Santa Fe - Copa Sul-Americana 2026 - Quartas de final Avalie os atletas para aparecer no compartilhamento Jogadores do Vasco contra o Santa Fe — Foto: Sergio Acero/Reuters"
"Santos x Atlético-MG: onde assistir ao vivo, horário e escalações",,https://ge.globo.com/sp/santos-e-regiao/futebol/copa-sul-americana/noticia/2026/09/09/santos-x-atletico-mg-onde-assistir-ao-vivo-horario-e-escalacoes.ghtml,"Caminho traçado: próximos confrontos da Sul-Americana estão definidos Eliminado da Copa do Brasil, o Santos se recuperou no Brasileirão e abriu vantagem para o Z-4 ao vencer o Internacional, fora de casa, no último domingo. Com mais folga no campeonato nacional, o clube deve aumentar o foco na Copa Sul-Americana, torneio que é a única chance de título neste ano e uma chance de voltar a disputar a Conmebo Libertadores no ano que vem. O Atlético-MG vem de sua primeira derrota depois de superar os 100 dias de invencibilidade. Tropeçou no Brasileiro, mas vive um bom momento nas Copas. Está na semifinal da Copa do Brasil e eliminou o RB Bragantino nas oitavas da Sul-Americana. O objetivo? Voltar à Libertadores depois de dois anos fora da principal competição continental. Cuca deve manter a base da equipe que venceu o Internacional, no último domingo, pelo Campeonato Brasileiro. O zagueiro Lucas Veríssimo segue como ausência por conta de dores no tornozelo direito. Contratado na última semana, o lateral-direito Rodinei fica à disposição pela primeira vez e tem chance de ser titular. Além de Lucas Veríssimo, Neymar e Barreal, lesionados, o Santos também não conta com o atacante Rony, que cumpre suspensão. O treinador tem os retornos de Lyanco, Maycon e Igor Gomes - recuperados e liberados pelo departamento médico. O trio deve ser opção no banco de reservas. A dúvida é quem vai substituir Cuello, suspenso, além da briga por vaga entre Cassierra e Renier."
Alan Lescano é regularizado no BID e pode estrear pelo Vasco contra o Grêmio,,https://ge.globo.com/futebol/times/vasco/noticia/2026/09/09/alan-lescano-e-regularizado-no-bid-e-pode-estrear-pelo-vasco.ghtml,"João Guerra explica andamento da negociação do Vasco com Richarlison | Podcast ge Vasco Alan Lescano já pode estrear pelo Vasco . O argentino foi registrado no Boletim Informativo Diário (BID) da CBF nesta quarta-feira e está apto para atuar pelo clube carioca no próximo compromisso, diante do Grêmio, no sábado, pela 27ª rodada do Campeonato Brasileiro, na Arena do Grêmio. O meia de 24 anos foi anunciado oficialmente nesta quarta-feira e assinou contrato até dezembro de 2029. A negociação com o Argentinos Juniors girou em torno de US$ 7 milhões (cerca de R$ 36 milhões). Lescano é regularizado no BID e pode estrear pelo Vasco — Foto: Reprodução Lescano é o quinto reforço anunciado pelo Vasco nesta janela de transferências. Antes, a diretoria havia contratado o lateral Paulinho, o volante Sosa e os atacantes Colidio e Bruno Duarte. O clube também encaminhou o acerto com o zagueiro Gabriel Pereira e sonha com a chegada do atacante Richarlison. O meia é visto internamente como um jogador que chega para ser titular e que tem bastante potencial. O argentino pode atuar tanto como camisa 10, mais adiantado e próximo dos atacantes, quanto como um meio-campista mais recuado, na função de um 8 com características ofensivas, perfil que falta ao elenco. Lescano Vasco — Foto: Matheus Lima/Vasco O meia iniciou a carreira profissional no Gimnasia, em 2022. Na temporada seguinte, acertou com o Argentinos Juniors, clube pelo qual ganhou destaque. Por lá, foram 123 jogos disputados, com 27 gols e nove assistências."
