titulo,data_publicacao,url,texto
Proposta por SAF do Fluminense completa um ano em compasso de espera,,https://ge.globo.com/futebol/times/fluminense/noticia/2026/09/08/proposta-por-saf-do-fluminense-completa-um-ano-em-compasso-de-espera.ghtml,"Mattheus Montenegro, presidente do Fluminense, aguarda nova proposta por SAF O Fluminense completa nesta terça-feira um ano em negociações com a Lazuli Partners para construir a proposta de compra da SAF tricolor. Foi no dia 8 de setembro de 2025 que o fundo fez apresentação pública em reunião do Conselho Deliberativo transmitida ao vivo. Desde então, há uma negociação em andamento. O clube tenta melhorar os termos da oferta, especialmente o valor do aporte inicial. Existe a expectativa de que a proposta reformulada seja apresentada ainda neste ano para dar início ao debate sobre a venda. Proposta inicial da SAF Fluminense — Foto: Reprodução YouTube Fontes ligadas ao mercado ouvidas pelo ge consideram normal o tempo levado para a negociação. A expectativa era de avançar logo após a eleição, mas o pleito acabou congelando as discussões até o seu resultado, gerando um acerto atraso. Outro ponto que segurou o projeto foi espera pela publicação do balanço de 2025. Existe uma projeção de que leve pelo menos mais um mês para se ter algo concreto em mãos. Outros pontos que vêm sendo debatidos são as cláusulas do acordo de acionistas e governança, que protegem o clube na venda. Hoje não há pendências com o elenco. A diretoria vem conseguindo honrar salários e direitos de imagem ao longo da temporada. Segundo relatos de jogadores ouvidos pelo ge , algumas vezes há atraso de poucos dias nos direitos de imagem, como aconteceu no último mês que venceu no dia 31 e foi pago no dia 2. Nesses casos, os atletas são avisados, é estabelecido um prazo e normalmente cumprido. Todos os jogadores que foram comprados nos últimos dois anos, quando houve uma mudança de postura no mercado de transferências, foram de forma parcelada. A aposta para manter tudo acertado é flexibilidade e boas relações. O clube se mantém dentro do prazo de tolerância do vencimento das parcelas, o que impede acionamento na Justiça e transfer ban, e quando o fluxo aperta, senta com o credor para renegociar os prazos. — Acho que sim [estão enxugando gelo]. A gente conseguiu equacionar a dívida, mas não reduzir. Em 2019, era R$ 860 milhões. Hoje é R$ 1,05 bilhão. Os valores são corrigidos pela Selic, então deveria estar em R$ 1,5 bilhão. O RCE foi fundamental para a gente porque sem ele tinha penhoras todo dia. Com ele, conseguimos fôlego para planejar. A dívida tributária está parcelada pelo prazo de 10 anos e a cível no RCE. Temos ainda acordos extrajudiciais por fora. É uma situação difícil . Tivemos a aprovação das contas no Conselho e perguntaram como seria o Fluminense do futuro. Hoje, conseguimos pagar as contas a partir do momento que vendemos jogadores — explicou o presidente Mattheus Montenegro em evento no Rio de Janeiro no começo de agosto. Presidente do Fluminense, Mattheus Montenegro — Foto: Divulgação: Mailson Santana/FFC O RCE é um mecanismo jurídico criado pela Lei da SAF (Lei nº 14.193/2021) que permite aos clubes de futebol reestruturar e pagar suas dívidas de forma organizada, funcionando como uma alternativa à recuperação judicial. Porém a alta taxa de juros do país dificulta a quitação desses débitos, mesmo com o pagamento das parcelas do acordo judicial. A meta orçamentária do Fluminense para 2026 previa arrecadação de cerca de R$ 200 milhões em vendas de jogadores. Com as janelas das principais ligas da Europa já encerradas, o clube não passou perto desse valor. A única venda de grande porte feita foi o volante Bernal, por US$ 12 milhões (R$ 62 milhões na cotação atual) durante a Copa do Mundo. Os cofres tricolores receberam apenas US$ 7,2 milhões (R$ 36,9 milhões na cotação atual) já que tinha apenas 60% dos direitos econômicos do jogador. A melhor forma de compensar essa baixa arrecadação com vendas é com resultados esportivos. Conquistar a Libertadores renderia US$ 27,3 milhões (RS 140 milhões na cotação atual) a mais do que o previsto, que era uma vaga nas quartas de final já atingida. Todo esse cenário é o fio condutor do processo de criação da sociedade anônima. O entendimento é que a melhor maneira de resolver o problema, trazendo um aporte que ajude a solucionar o sufocamento causado pelas dívidas, é vendendo as ações da sociedade anônima. O Fluminense recebeu uma advertência de grau mínimo da Agência Nacional de Regulação e Sustentabilidade do Futebol (ANSREF) por atraso em pagamento de parcelas de dívidas com outros clubes, empregados e autoridades públicas no final de agosto. O clube reconheceu o problema e afirmou em nota oficial que ""os problemas apontados já foram endereçados e o clube acompanha atentamente o andamento para conclusão dos casos."" carrossel finanças dinheiro orçamento Fluminense — Foto: Info Esporte O Fluminense fechou 2025 com uma receita recorde, superando a casa de R$ 1 bilhão. Isso se deve, principalmente, ao valor recebido pela campanha na Copa do Mundo de Clubes, em que terminou na semifinal. Os resultados renderam cerca de R$ 331 milhões, quase um terço do total arrecadado pelo clube. O destino dessa receita extraordinária foi detalhado pelo presidente Mattheus Montenegro durante palestra na Rio Innovation Week, no começo de agosto. — Muito se fala da premiação da Copa do Mundo. Daquele valor, nós recebemos R$ 290 milhões líquido. Você desconta disso R$ 72 milhões de foram de premiação para os jogadores. Outros R$ 20 milhões foi pagamento de voos ao longo do torneio. R$ 50 milhões usamos para pagar acordos judiciais. Ainda fizemos um leilão de R$ 10 milhões no RCE para quitar dívida com credores que dessem desconto, mas ninguém se interessou porque estamos pagando em dia as parcelas. Esse valor ficou no tribunal para quitar parcelas. Sobrou R$ 120 milhões a mais de receita, que foi usada em folha salarial e contratação de jogadores. Campanha marcante na Copa do Mundo de Clubes foi ponto alto do Flu em 2025"
Manchester City x Coventry City na Premier League: onde assistir ao vivo e horário,,https://ge.globo.com/futebol/futebol-internacional/futebol-ingles/noticia/2026/09/05/manchester-city-x-coventry-city-na-premier-league-onde-assistir-ao-vivo-e-horario.ghtml,"Crystal Palace 1 x 4 Manchester City | Melhores momentos| 2ª rodada | Premier League 26/27 Haaland marcou duas vezes em goleada do Manchester City na última rodada — Foto: AFP O City iniciou o Inglês com duas vitórias e lidera a competição com seis pontos. Na estreia, a equipe teve o confronto dificílimo contra o Bournemouth, saiu perdendo por 1 a 0, mas, na base do abafa e do talento de Cherki, conseguiu a virada com gols do zagueiros Guéhi e Gvardiol. Depois, goleou o Crystal Palace por 4 a 1 fora de casa, com dois gols de Erling Haaland e dois de Cherki. Já o Coventry City vive outro momento neste início de temporada. Recém-promovido à elite inglesa, o time perdeu os dois primeiros jogos - diante de Arsenal e Hull City - e ocupa a 17ª colocação da competição. Enzo Fernández e Enzo Maresca na época do Chelsea — Foto: Darren Walsh/Getty Images O técnico Enzo Maresca tem algumas novidades para a partida. A principal é Enzo Fernández. O O clube pagou 125 milhões de libras esterlinas (R$ 870,3 milhões) ao Chelsea e pôs fim à janela que se arrastava desde o início da temporada 2026/27. O jogador assinou contrato de cinco anos e está à disposição, podendo até começar entre os titulares. Além de Enzo, outros reforços também ficam à disposição de Maresca: Iliman Ndiaye e Allan, ex-Palmeiras, assim como Matheus Nunes. A baixa da equipe é Jeremy Doku, que segue fora por lesão. Manchester City : Donnarumma; Khusanov, Dias, Guehi, Gvardiol; Anderson, Bouaddi; Foden, Cherki, Semenyo; Haaland. Técnico: Enzo Maresca Coventry City : Rushworth; Van Ewijk, Thomas, Pinnock, Amenda, Dasilva; Yirenkyi, Grimes, Onyeka; Mason-Clark, Awoniyi. Técnico: Frank Lampard."
LDU descarta revanche e aposta em ídolo do Palmeiras no reencontro pela Libertadores,,https://ge.globo.com/futebol/times/palmeiras/noticia/2026/09/09/ldu-descarta-revanche-e-aposta-em-idolo-do-palmeiras-no-reencontro-pela-libertadores.ghtml,"Na LDU, Deyverson comenta reencontro com o Palmeiras na CONMEBOL Libertadores Palmeiras e LDU voltam a se enfrentar pela Conmebol Libertadores nesta quarta-feira, quase um ano depois da remontada histórica da equipe de Abel Ferreira pela semifinal da edição de 2025 do torneio sul-americano. Desta vez, o encontro dos clubes é pelas quartas de final, mas a equipe equatoriana descarta qualquer ideia de revanche. A LDU passou por mudanças desde outubro do ano passado, quando perdeu por 4 a 0 em São Paulo e foi eliminada pelo Palmeiras após vencer a partida de ida por 3 a 0, em Quito. Jogadores da LDU vibram com vaga contra o Mirassol nas oitavas de final da Libertadores — Foto: Rodrigo Buendia/AFP Dos 11 titulares que foram goleados pelo time de Abel, oito seguem no elenco. Apenas o meia Gruezo e os atacantes Medina e Alzugaray deixaram a equipe. A maior mudança está no banco de reservas. Tiago Nunes, comandante da LDU naquela ocasião, deixou o clube em julho deste ano, após maus resultados no Campeonato Equatoriano. Gustavo Álvarez chegou para o seu lugar. O treinador argentino comandou a LDU em 11 jogos, com sete vitórias, dois empates e duas derrotas. Entre eles está a suada classificação nas oitavas de final da Libertadores sobre o Mirassol, com a vitória nos pênaltis por 5 a 4 depois de empates no Brasil (1 a 1) e no Equador (0 a 0). Gustavo Álvarez técnico do San Lorenzo durante partida contra o Santos — Foto: Jota Erre/AGIF Mais notícias do Palmeiras : + Por que o Palmeiras sofre com queda de rendimento na reta final da temporada No Campeonato Equatoriano, a equipe ocupa a quinta posição. Gustavo Álvarez ainda não encontrou um time ideal e mudou bastante o esquema nesses primeiros jogos. A tendência é que a equipe atue em um 4-2-3-1, formação utilizada nas últimas três vitórias pela competição nacional. — Estou me sentindo muito bem. Vejo um elenco comprometido. Acredito nos jogadores, e eles acreditam em mim — disse o treinador em entrevista pré-jogo realizada nesta terça-feira. Felipe Melo diz que Abel Ferreira deve tudo ao Palmeiras! A chance de reencontrar o Palmeiras não é vista como uma “revanche”, pelo menos para o presidente do clube, Isaac Álvarez. Ao relembrar o último confronto, o dirigente rechaça a ideia de trauma e prefere valorizar a vitória no jogo de ida. — Eu prefiro ficar com o 3 a 0 de Quito, que é algo que nunca havia acontecido contra o adversário. Não sinto que isso seja mais do que uma partida que temos pela frente. Expressei essa mesma visão quando me perguntaram se era uma revanche. Para nós, não. É uma partida contra o adversário que nos coube enfrentar — disse em entrevista coletiva nesta terça-feira. — É um adversário que, obviamente, respeitamos muito, assim como o seu treinador, Abel Ferreira, que fez uma declaração muito importante e que acredito ser oportuno mencionar, quando fala sobre o que significa para a torcida e para o público em geral o fato de não ser campeão sempre. A LDU conta com um velho conhecido dos palmeirenses como esperança de gols. Deyverson defende a equipe equatoriana desde janeiro deste ano. Deyverson se aventura na LDU e crava título da Libertadores em 2026 Aos 35 anos, o autor do gol do título da Libertadores do Palmeiras em 2021 tem 37 jogos e sete gols pelo novo clube. Apesar do renome, não é titular absoluto e disputa a posição com o atacante Estrada, que marcou 11 gols em 31 jogos neste ano. O jogo de ida será nesta quarta-feira, às 19h, no Nubank Parque, palco dos 4 a 0 para o Palmeiras no ano passado. Gustavo Álvarez evitou falar sobre os resultados do confronto anterior e também descartou usar o gramado sintético como justificativa para eventuais dificuldades. — O gramado sintético está aprovado. Precisamos nos adaptar e competir. Não há desculpas, o futebol sempre será 11 contra 11. Se queremos fazer história, temos que superar qualquer adversidade. LDU x Always Ready gol Deyverson — Foto: RODRIGO BUENDIA / AFP"
"Pelo Corinthians, jogador de Cuiabá é artilheiro e campeão da Liga Nacional de Futebol 7",,https://ge.globo.com/mt/futebol/noticia/2026/09/09/pelo-corinthians-jogador-de-cuiaba-e-artilheiro-e-campeao-da-liga-nacional-de-futebol-7.ghtml,"Corinthians enfrenta Estudiantes nas quartas de final da Libertadores O atacante Heltinho, de 31 anos, foi campeão e artilheiro da Liga Nacional de Futebol 7 pelo Corinthians. Natural de Cuiabá e com passagem pelo futebol profissional de Mato Grosso, o jogador marcou quatro gols na competição e ajudou o clube paulista a conquistar o título inédito. A decisão foi disputada no Ginásio Tarumã, em Curitiba (PR). Pelo Corinthians, Heltinho foi artilheiro da Liga Fut 7 — Foto: Liga Nacional Fut7 Comandado pelo técnico Charles da Cruz, o Corinthians iniciou a campanha com dois empates por 3 a 3, contra Atlético-PR e Madureira. Na sequência, venceu o Sport Club Cuiabá por 5 a 1 e avançou na competição até chegar à decisão contra o Coritiba. Na final, o time paranaense começou melhor e abriu vantagem com gols de Mamute e Marcelo, capitão da equipe. O Corinthians reagiu e Heltinho marcou de cabeça para diminuir o placar e manter a equipe paulista na disputa pelo título. O empate veio no último lance da partida. Após chute de Tuco, Cléber tocou por último na bola e deixou o placar em 2 a 2. A igualdade levou a decisão para os pênaltis. Nas cobranças, o goleiro João Pedro defendeu duas penalidades e foi decisivo para o Corinthians. O time paulista venceu por 2 a 1 e conquistou pela primeira vez a Liga Nacional de Futebol 7. Heltinho terminou a competição como artilheiro, com quatro gols. Corinthians conquista título inédito da Liga Nacional Fut7 — Foto: Liga Nacional Fut7 - Uma honra vestir essa camisa. Obrigado Deus por proporcionar que meu trabalho ajude o time a chegar ao seu objetivo. Um dia histórico, sendo artilheiro e campeão. Muitas bênçãos em nossas vidas e a colheita dos frutos virão muito mais - disse Heltinho ao ge . Jesuelton Proença de Lima, o Heltinho, começou a carreira ainda jovem no Cuiabá. Ao longo da trajetória no futebol profissional, também defendeu Dom Bosco, Operário Várzea-grandense, Cacerense e Ação. Um dos principais momentos da carreira foi pelo União de Rondonópolis. Na primeira passagem pelo clube, em 2021, o atacante disputou 17 partidas e marcou 7 gols. Naquele ano, fez parte da campanha que terminou com o título da Copa FMF. Em 2023, voltou ao União e foi vice-campeão do Campeonato Mato-grossense. União empata com Dom Bosco e conquista a Copa FMF Heltinho também teve passagens por Marília-SP, Sinop e Costa Rica-MS. Em 2025, defendeu o Operário Ltda na Segunda Divisão do Campeonato Mato-grossense. Nas últimas duas temporadas, o atacante passou a se dedicar principalmente ao futebol amador. A participação na Liga Nacional de Futebol 7 representou uma nova oportunidade em uma competição de alcance nacional e terminou com dois feitos: o título pelo Corinthians e a artilharia. Corinthians campeão da Liga Nacional Fut7 2026 — Foto: Liga Nacional Fut7"
"Nem Fábio, nem Rafael: veja último goleiro do Cruzeiro convocado para Seleção antes de Otávio",,https://ge.globo.com/futebol/times/cruzeiro/noticia/2026/09/09/nem-fabio-nem-rafael-veja-ultimo-goleiro-do-cruzeiro-convocado-para-selecao-antes-de-otavio.ghtml,"Otávio viaja para acompanhar convocação com a família; veja reação O Cruzeiro volta a ter um goleiro na seleção brasileira após oito anos. Otávio foi convocado por Carlo Ancelotti e vai defender o Brasil nos amistosos contra a Austrália e Índia, no fim de setembro. Antes dele, o último da função a ser chamado para vestir a amarelinha enquanto estava na Raposa foi Gabriel Brazão. Otávio, goleiro do Cruzeiro — Foto: Gustavo Aleixo/Cruzeiro Na época, Tite convocava sempre um goleiro com idade sub-20 para ser o terceiro da função em amistosos e compromissos das Eliminatórias. Brazão tinha 18 anos, estava integrado ao elenco principal do Cruzeiro e era considerado uma das principais promessas do clube. Brazão não entrou em campo nos amistosos contra Uruguai e Camarões. O jogador foi negociado com o Parma, em 2019, também sem estrear na equipe principal do Cruzeiro. Passou por Inter de Milão, Albacete e Oviedo, antes de voltar à Toca em 2022. Novamente, não entrou em campo. Retornou à Europa e foi contratado pelo Santos em 2024, se firmando desde então, com 131 jogos disputados. O último goleiro titular do Cruzeiro a ser chamado para a seleção principal foi Fábio, em 2011, para amistoso contra Gana. O treinador da época era Mano Menezes. O goleiro não chegou a atuar na partida e nunca mais foi convocado. Gabriel Brazão foi chamado por Tite para a seleção brasileira em 2018 — Foto: Lucas Figueiredo/CBF Gomes foi o último goleiro do Cruzeiro que foi titular na seleção brasileira. Multicampeão em 2003, o defensor esteve nas convocações da Seleção Sub-23 e principal. Disputou a Copa Ouro da Concacaf em 2024. Outros goleiros históricos vestiram a camisa do Brasil enquanto defendiam o Cruzeiro. Dida e Raul Plasmam integram a lista. O primeiro foi convocado para a Copa do Mundo da França, de 1998, enquanto ainda jogava pelo time."
"James Rodríguez fica perto de acerto com clube da segunda divisão italiana, diz jornal",,https://ge.globo.com/futebol/futebol-internacional/noticia/2026/09/08/james-rodriguez-fica-perto-de-acerto-com-clube-da-segunda-divisao-da-italiano-diz-jornal.ghtml,"Há 12 anos, James Rodriguez fazia o gol mais bonito da Copa de 2014 James Rodríguez está perto de definir o futuro depois de mais de dois meses sem clube. Segundo o jornal espanhol ""Marca"", o meia colombiano negocia para defender o Avellino, da Itália, e o acordo está próximo. O jogador de 35 anos está livre no mercado desde o dia 1º de julho, quando encerrou sua passagem pelo Minnesota United, dos Estados Unidos. James Rodríguez posa para ensaio da Colômbia para a Copa do Mundo — Foto: Hector Vivas - FIFA James vinha buscando justamente uma oportunidade para continuar a carreira na Europa. Nas últimas semanas, o colombiano foi relacionado a diferentes equipes, entre elas a Lazio, além de clubes da Turquia e da América do Sul, mas nenhuma negociação havia avançado até então. O possível destino surpreende. O Avellino disputa a Serie B, a segunda divisão italiana, e fechou a última janela de transferências com movimentações importantes no elenco. Mesmo com o encerramento do período regular de inscrições na Itália, jogadores livres continuam sendo uma alternativa para os clubes. James teve uma passagem curta pelo Minnesota em 2026. Na MLS, disputou seis partidas, com 195 minutos em campo e duas assistências. O contrato havia sido firmado no início do ano, em uma tentativa do colombiano de ganhar ritmo antes da Copa do Mundo. James Rodríguez em Colômbia x Suíça — Foto: IMAGN IMAGES via Reuters Na Copa de 2026, James foi novamente um dos líderes da seleção colombiana. Foi titular durante a campanha e participou do confronto das oitavas de final contra a Suíça, que terminou com a eliminação da Colômbia nos pênaltis. Caso a negociação seja concluída, James voltará ao futebol europeu depois de passagens por clubes como Porto, Monaco, Real Madrid, Bayern de Munique, Everton, Olympiacos e Rayo Vallecano. O Avellino seria o próximo capítulo de uma carreira marcada por frequentes mudanças de clube nos últimos anos. Desde que deixou o Real Madrid, em 2020, James passou por Everton, Al-Rayyan, Olympiacos, São Paulo, Rayo Vallecano, León e Minnesota United antes de voltar ao mercado."
Mbappé apoia irmão após expulsão em noite de Champions,,https://ge.globo.com/futebol/futebol-internacional/noticia/2026/09/09/mbappe-apoia-irmao-apos-expulsao-em-noite-de-champions.ghtml,"Real Madrid 2 x 1 Inter de Milão | Melhores momentos | 1ª rodada | Champions League Ethan Mbappé viveu uma noite difícil na estreia do Lille na Champions League. O meia foi expulso na derrota por 2 a 1 para o Betis, nesta terça-feira, e recebeu o primeiro cartão vermelho da carreira. Após a partida, publicou um pedido de desculpas nas redes sociais. — Quero pedir desculpas aos meus companheiros de equipe, à comissão técnica e aos torcedores por esse gesto inaceitável. A derrota é inteiramente culpa minha, assumo a responsabilidade. Deixei meus companheiros em dificuldades na maior competição. Desculpa. Mbappé apoia irmão após expulsão em noite de Champions — Foto: Reprodução/Instagram A publicação foi compartilhada por Kylian Mbappé nos Stories do Instagram. O atacante do Real Madrid, que também entrou em campo pela Champions na mesma noite, apoiou o irmão ao reproduzir o desabafo. Kylian marcou um dos gols da vitória por 2 a 1 sobre a Inter de Milão. Ethan Mbappé em ação pelo Liller — Foto: Sarah Meyssonnier/Reuters Ethan foi expulso aos 37 minutos do segundo tempo, quando o Lille ainda buscava o empate. O cartão vermelho deixou a equipe francesa em desvantagem nos minutos finais. O Betis venceu a partida por 3 a 2."
Negociação entre Atlético-MG e CSKA por Cuello trava; entenda o impasse,,https://ge.globo.com/futebol/times/atletico-mg/noticia/2026/09/09/negociacao-entre-atletico-mg-e-cska-por-cuello-trava-entenda-o-impasse.ghtml,"A negociação entre Atlético-MG e CSKA, da Rússia, por Cuello está travada e não deve avançar. O clube mineiro estava aberto a ouvir as condições colocadas pela equipe, mas a questão financeira pesou nas tratativas e, neste momento, a tendência é que o atacante permaneça na Cidade do Galo. O ge apurou que o principal impasse surgiu quando os russos optaram por incluir no negócio uma dívida do Galo com o clube. O Alvinegro tem uma pendência financeira com o CSKA pela contratação de Bruno Fuchs. O valor gira em torno de cinco milhões de euros, cerca de R$ 29,5 milhões, e seria abatido da quantia a ser paga por Cuello. Esse valor segue na Fifa e sem uma definição. Atlético-MG x Internacional; Cuello — Foto: Gilson Lobo/AGIF A proposta pelo atacante argentino também não agradou à direção do Atlético-MG . O CSKA ofereceu cerca de 10 milhões de euros, aproximadamente R$ 59 milhões, além de metas. O Galo entende que a saída só faria sentido se chegasse nos valores estipulados pela direção. Seria único fator que justificaria a perda de um jogador importante nesta fase decisiva da temporada. O Atlético está classificado para a semifinal da Copa do Brasil e para as quartas de final da Sul-Americana. Pela competição continental, a primeira partida acontece nesta quarta-feira, diante do Santos, em São Paulo. Diante da importância dos torneios e do objetivo de voltar à Libertadores em 2027, o Galo considera difícil encontrar uma reposição à altura de Cuello. A janela de transferências fecha na próxima sexta-feira. Além disso, outros mercados importantes pelo mundo já encerraram o período de negociações, o que dificultaria as conversas na busca por um substituto. Cuello ficou balançando com os valores . Financeiramente, o salário pago pelo clube russo ao jogador seria considerado ""irrecusável""."
"Ex-Grêmio, Kaick vive ascensão na MLS com dois gols seguidos e titularidade",,https://ge.globo.com/rs/futebol/times/gremio/noticia/2026/09/10/ex-gremio-kaick-vive-ascensao-na-mls-com-dois-gols-seguidos-e-titularidade.ghtml,"Veja últimos gols de Kaick, volante ex-Grêmio que vem se destacando na MLS Vendido pelo Grêmio no início de 2025, Kaick encontrou seu melhor momento nesta temporada da MLS. O volante de 20 anos soma 21 partidas como titular pelo FC Dallas e, nos últimos dois jogos, marcou dois gols (veja no vídeo acima). Grêmio decide vaga na final da Copa do Brasil fora de casa Kaick abriu o placar contra o Minnesota na quarta-feira. A partida terminou com vitória do FC Dallas por 3 a 1. O resultado levou a equipe a 40 pontos, na quarta posição da Conferência Oeste, com a mesma pontuação do Los Angeles FC, dentro da zona de classificação. No sábado passado, Kaick marcou um dos gols da vitória por 4 a 3 sobre o Sporting Kansas City. Nos últimos cinco jogos, o volante foi titular em quatro partidas. Ficou no banco e entrou ainda no primeiro tempo na derrota por 5 a 0 para o Vancouver Whitecaps, que lidera a conferência. Kaick, ex-Grêmio, pelo FC Dallas — Foto: Divulgação/FC Dallas Ao todo, Kaick tem 27 gols em 2026 pelo FC Dallas, com três gols e duas assistências. No ano passado, participou de 31 jogos, 25 como titular. O ex-atleta da base gremista é companheiro de time de Ramiro, campeão da Copa do Brasil de 2026 e da Libertadores de 2017 pelo Grêmio. No próximo sábado, o FC Dallas recebe em casa o Portland Timbers, do atacante Alexander Aravena, emprestado pelo Grêmio. O chileno, contudo, não é titular na equipe. Jovem do Grêmio é chamado para ser quarto goleiro da Seleção na data Fifa Kaick tem contrato com o Dallas FC até dezembro de 2028. Feita em fevereiro do ano passado, a transferência envolveu US$ 4 milhões (R$ 23,1 milhões na época). O Grêmio mantém 20% dos direitos do atleta em uma futura venda. O atleta fez um jogo pela equipe profissional do Grêmio, diante do Ypiranga, pelo Campeonato Gaúcho, quando o técnicos Gustavo Quinteros utilizou um time de reservas. Ele havia acabado de disputar a Copa São Paulo de Futebol Junior e foi integrado ao grupo principal pouco antes de ser vendido. Natural do Rio de Janeiro, Kaick é formado pelas categorias de base do Tricolor."
Vasco inicia contatos para tentar contratar atacante Richarlison,,https://ge.globo.com/futebol/times/vasco/noticia/2026/09/08/vasco-tem-interesse-em-richarlison-e-inicia-contatos-para-contratar-atacante.ghtml,"O Vasco entrou em contato com o estafe de Richarlison para entender a situação do atacante e saber se ele considera uma volta ao futebol brasileiro. O clube carioca busca informações sobre a possibilidade de contar com o jogador por empréstimo. Há uma tentativa de contratá-lo. O brasileiro entrou em rota de colisão com o clube inglês após comunicar o desejo de sair à diretoria dos Spurs e ao técnico De Zerbi. Ele ficou fora da lista de inscritos do time para a Premier League e não está nos planos para o restante da temporada. ""São 13 finais daqui pra frente"", diz João após derrota do Vasco | A Voz da Torcida A informação do interesse do Vasco foi publicada inicialmente pelo jornalista Lucas Pedrosa e confirmada pelo ge . Nos últimos dias, a torcida vascaína iniciou uma intensa mobilização nas redes sociais pela contratação do jogador, que segue as atividades no Tottenham para manter a forma física enquanto aguarda a definição do futuro. O jogador não quer ficar sem atuar e está disposto a ouvir todas as possibilidades. Richarlison comemora gol do Tottenham — Foto: X/Tottenham As principais janelas de transferências da Europa já se encerraram, e as alternativas para o estafe de Richarlison são reduzidas. O jogador chegou a ter um acordo salarial com o Trabzonspor , mas os clubes não chegaram a um acordo financeiro antes do encerramento da janela turca, na última sexta-feira. Richarlison já declarou publicamente que é torcedor do Vasco, motivo que impulsionou a mobilização dos torcedores nas redes sociais. Pedrinho é fã do jogador e já havia sondado a possibilidade de um empréstimo em outras oportunidades nas últimas temporadas, mas sempre ouviu que o jogador seguiria no Tottenham. O cenário mudou agora. Com a maior parte das janelas de transferências já fechada e a sinalização do Tottenham de que Richarlison não está nos planos, o estafe do jogador deixou de descartar uma volta ao Brasil. O Vasco, por sua vez, busca reforços para o setor ofensivo e vê Richarlison como uma possibilidade de mudar o patamar do clube. Richarlison foi revelado pelo América-MG e, antes de ir para a Europa, jogou no Fluminense. Na Inglaterra, defendeu Watford, Everton e Tottenham. Ele disputou a Copa de 2022 pela Seleção."
