cluster,tokens_representativos
0,"jair, seleção, ancelotti, carsughi, brasileira, brasil, convocação, índia, austrália, nottingham"
1,"vasco, richarlison, tottenham, lescano, botafogo, jogador, rescisão, clube, argentinos, janela"
2,"corinthians, estudiantes, libertadores, conmebol, neymar, galo, tempo, final, hugo, quartas"
3,"barcelona, raphinha, liga, champions, feyenoord, temporada, united, gols, fase, league"
4,"palmeiras, abel, ldu, giay, ferreira, libertadores, medina, deyverson, clube, conmebol"
5,"paulo, avaí, casares, julio, clube, boca, guga, kuerten, rildo, luciano"
6,"cruzeiro, bragantino, convocado, seleção, danilo, coritiba, vini, athletico, pereira, matheus"
7,"brasil, copa, mané, garrincha, fase, cbf, criciúma, cascavel, cuiabá, barra"
8,"city, manchester, r, bouaddi, milhões, infantino, feminino, futebol, euros, league"
9,"flamengo, del, valle, libertadores, independiente, fluminense, gol, platense, contra, jardim"
